Specimen 	Locomotion	Diet	Clade
Acrobates_pygmaeus	Arboreal	Insectivore	Petauroid
Aepyprymnus_rufescens	Saltatorial	Herbivore	Macropod
Antechinus_flavipes	Scansorial	Insectivore	Dasyuromorph
Caluromys_derbianus	Arboreal	Omnivore	Didelphid
Chironectes_minimus	Aquatic_Terrestrial	Carnivore	Didelphid
Dactylopsila_trivirgata	Arboreal	Insectivore	Phalangeroid
Dasyurus_viverrinus 	Scansorial	Carnivore	Dasyuromorph
Dendrolagus_inustus	Pentapedal	Herbivore	Macropod
Didelphis_marsupialis	Terrestrial	Omnivore	Didelphid
Didelphis_virginiana	Scansorial	Omnivore	Didelphid
Distoechurus_pennatus	Arboreal	Insectivore_nectarivore	Petauroid
Dromiciops_gliroides	Arboreal	Insectivore	Microbiod
Gracilinanus_agilis	Arboreal	Insectivore	Didelphid
Gracilinanus_microtarsus	Arboreal	Insectivore	Didelphid
Hemibelideus_lemuroides	Arboreal	Herbivore_folivore	Petauroid
Hypsiprymnodon_moschatus	Terrestrial	Insectivore	Macropod
Isoodon_obesulus	Terrestrial	Omnivore	Peramelemorph
Lestoros_inca	Terrestrial	Insectivore	Caenolestid
Lutreolina_crassicaudata	Terrestrial	Omnivore	Didelphid
Macropus_rufus	Pentapedal	Herbivore_folivore	Macropod
Macrotis_lagotis	Terrestrial	Omnivore	Peramelemorph
Marmosa_mexicana	Arboreal_Scansorial	Insectivore	Didelphid
Marmosa_murina	Arboreal_Scansorial	Insectivore	Didelphid
Marmosops_incanus	Scansorial	Insectivore	Didelphid
Marmosops_noctivagus	Scansorial	Insectivore	Didelphid
Marmosa_alstoni	Arboreal	Omnivore	Didelphid
Marmosa_robinsoni	Terrestrial	Insectivore	Didelphid
Marmosa_demerarae	Arboreal	Insectivore	Didelphid
Monodelphis_brevicaudata	Terrestrial_Scansorial	Insectivore	Didelphid
Monodelphis_domestica	Terrestrial	Omnivore	Didelphid
Perameles_nasuta	Terrestrial	Omnivore	Peramelemorph
Petauroides_volans	Arboreal	Herbivore_folivore	Petauroid
Petaurus_australis	Arboreal	Nectarivore_omnivore	Petauroid
Petaurus_breviceps	Arboreal	Omnivore	Petauroid
Petrogale_xanthopus	Saltatorial	Herbivore_folivore	Macropod
Phalanger_mimicus	Arboreal	Omnivore	Phalangeroid
Phascogale_tapoatafa	Arboreal	Carnivore	Dasyuromorph
Philander_andersoni	Scansorial	Omnivore	Didelphid
Philander_opossum	Terrestrial	Omnivore	Didelphid
Planigale_ingrami	Terrestrial	Insectivore	Dasyuromorph
Potorous_tridactylus	Saltatorial	Omnivore	Macropod
Rhyncholestes_raphanurus	Terrestrial	Insectivore	Caenolestid
Sminthopsis_macroura 	Terrestrial	Insectivore	Dasyuromorph
Sminthopsis_murina	Terrestrial	Insectivore	Dasyuromorph
Thylamys_elegans	Arboreal	Insectivore	Didelphid
Thylamys_pallidior	Arboreal	Insectivore	Didelphid
Thylogale_stigmatica 	Pentapedal	Herbivore	Macropod
Trichosurus_vulpecula 	Arboreal	Herbivore_folivore	Phalangeroid
Vombatus_ursinus	Terrestrial	Herbivore_folivore	Vombatiform
