Specimen	Locomotion	Diet	Clade
Acrobates_pygmaeus	Arboreal	Insectivore	Petauroid
Aepyprymnus_rufescens	Saltatorial	Herbivore	Macropod
Antechinus_flavipes	Scansorial	Insectivore	Dasyuromorph
Caluromys_derbianus	Arboreal	Omnivore	Didelphid
Chironectes_minimus	Terrestrial	Carnivore	Didelphid
Dactylopsila_trivirgata	Arboreal	Insectivore	Petauroid
Dasyurus_viverrinus	Scansorial	Carnivore	Dasyuromorph
Dendrolagus_inustus	Saltatorial	Herbivore	Macropod
Didelphis_marsupialis	Terrestrial	Omnivore	Didelphid
Didelphis_virginiana	Scansorial	Omnivore	Didelphid
Distoechurus_pennatus	Arboreal	Insectivore	Petauroid
Dromiciops_gliroides	Arboreal	Insectivore	Microbiod
Gracilinanus_agilis	Arboreal	Insectivore	Didelphid
Gracilinanus_microtarsus	Arboreal	Insectivore	Didelphid
Hemibelideus_lemuroides	Arboreal	Herbivore	Petauroid
Hypsiprymnodon_moschatus	Terrestrial	Insectivore	Macropod
Isoodon_obesulus	Terrestrial	Omnivore	Peramelemorph
Isoodon_obesulus	Terrestrial	Omnivore	Peramelemorph
Lestoros_inca	Terrestrial	Insectivore	Caenolestid
Lutreolina_crassicaudata	Terrestrial	Omnivore	Didelphid
Macropus_rufus	Saltatorial	Herbivore	Macropod
Macrotis_lagotis	Terrestrial	Omnivore	Peramelemorph
Marmosa_alstoni	Arboreal	Omnivore	Didelphid
Marmosa_demerarae	Arboreal	Insectivore	Didelphid
Marmosa_mexicana	Arboreal	Insectivore	Didelphid
Marmosa_murina	Arboreal	Insectivore	Didelphid
Marmosa_robinsoni	Terrestrial	Insectivore	Didelphid
Marmosops_incanus	Scansorial	Insectivore	Didelphid
Marmosops_noctivagus	Scansorial	Insectivore	Didelphid
Monodelphis_brevicaudata	Terrestrial	Insectivore	Didelphid
Monodelphis_domestica	Terrestrial	Omnivore	Didelphid
Perameles_nasuta	Terrestrial	Omnivore	Peramelemorph
Petauroides_volans	Arboreal	Herbivore	Petauroid
Petaurus_australis	Arboreal	Herbivore	Petauroid
Petaurus_breviceps	Arboreal	Omnivore	Petauroid
Petrogale_xanthopus	Saltatorial	Herbivore	Macropod
Phalanger_mimicus	Arboreal	Omnivore	Phalangeroid
Phascogale_tapoatafa	Arboreal	Carnivore	Dasyuromorph
Philander_andersoni	Scansorial	Omnivore	Didelphid
Philander_opossum	Terrestrial	Omnivore	Didelphid
Planigale_ingrami	Terrestrial	Insectivore	Dasyuromorph
Potorous_tridactylus	Saltatorial	Omnivore	Macropod
Rhyncholestes_raphanurus	Terrestrial	Insectivore	Caenolestid
Sminthopsis_murina	Terrestrial	Insectivore	Dasyuromorph
Thylamys_elegans	Arboreal	Insectivore	Didelphid
Thylamys_pallidior	Arboreal	Insectivore	Didelphid
Thylogale_stigmatica	Saltatorial	Herbivore	Macropod
Trichosurus_vulpecula	Arboreal	Herbivore	Phalangeroid
Vombatus_ursinus	Terrestrial	Herbivore	Vombatiform
Vombatus_ursinus1	Terrestrial	Herbivore	Vombatiform
