,Genus,Species,Museum_ID,Order
Acrobates_pygmaeus_J7579,Acrobates,pygmaeus,J7579,Diprotodontia
Aepyprymnus_rufescens_J10371,Aepyprymnus,rufescens,J10371,Diprotodontia
Antechinus_flavipes_JM1937,Antechinus,flavipes,JM1937,Dasyuromorphia
Antechinus_melanurus_JM1093,Antechinus,melanurus,JM1093,Dasyuromorphia
Caluromys_derbianus_UF10564,Caluromys,derbianus,UF10564,Didelphimorphia
Chironectes_minimus_UF10177,Chironectes,minimus,UF10177,Didelphimorphia
Dactylopsila_trivirgata_J6202,Dactylopsila,trivirgata,J6202,Diprotodontia
Dasyurus_viverrinus_J7996,Dasyurus,viverrinus,J7996,Dasyuromorphia
Dendrolagus_inustus_UF28277,Dendrolagus,inustus,UF28277,Diprotodontia
Didelphis_marsupialis_BAA0164,Didelphis,marsupialis,BAA0164,Didelphimorphia
Didelphis_virginiana_UF5938,Didelphis,virginiana,UF5938,Didelphimorphia
Distoechurus_pennatus_JM9611,Distoechurus,pennatus,JM9611,Diprotodontia
Dromiciops_gliroides_MVZ158442,Dromiciops,gliroides,MVZ158442,Microbiotheria
Echymipera_kalubu_J23069,Echymipera,kalubu,J23069,Peramelemorphia
Gracilinanus_agilis_MVZ197438,Gracilinanus,agilis,MVZ197438,Didelphimorphia
Gracilinanus_microtarsus_MVZ182057,Gracilinanus,microtarsus,MVZ182057,Didelphimorphia
Hemibelideus_lemuroides_JM6544,Hemibelideus,lemuroides,JM6544,Diprotodontia
Hypsiprymnodon_moschatus_JM1446,Hypsiprymnodon,moschatus,JM1446,Diprotodontia
Isoodon_obesulus_JM12612,Isoodon,obesulus,JM12612,Peramelemorphia
Isoodon_obesulus_JM4425,Isoodon,obesulus,JM4425,Peramelemorphia
Lestoros_inca_MVZ116049,Lestoros,inca,MVZ116049,Didelphimorphia
Lutreolina_crassicaudata_MVZ134223,Lutreolina,crassicaudata,MVZ134223,Didelphimorphia
Macropus_rufus_UF7773,Macropus,rufus,UF7773,Diprotodontia
Macrotis_lagotis_J3554,Macrotis,lagotis,J3554,Peramelemorphia
Marmosa_alstoni_UF8700,Marmosa,alstoni,UF8700,Didelphimorphia
Marmosa_demerarae_MVZ197411,Marmosa,demerarae,MVZ197411,Didelphimorphia
Marmosa_mexicana_MVZ159445,Marmosa,mexicana,MVZ159445,Didelphimorphia
Marmosa_murina_MVZ197429,Marmosa,murina,MVZ197429,Didelphimorphia
Marmosa_robinsoni_UF23860,Marmosa,robinsoni,UF23860,Didelphimorphia
Marmosops_incanus_MVZ182770,Marmosops,incanus,MVZ182770,Didelphimorphia
Marmosops_noctivagus_MVZ173936,Marmosops,noctivagus,MVZ173936,Didelphimorphia
Monodelphis_brevicaudata_UF13314,Monodelphis,brevicaudata,UF13314,Didelphimorphia
Monodelphis_domestica_BAA0009,Monodelphis,domestica,BAA0009,Didelphimorphia
Myrmecobius_fasciatus_M5291,Myrmecobius,fasciatus,M5291,Dasyuromorphia
Myrmecobius_fasciatus_M6668,Myrmecobius,fasciatus,M6668,Dasyuromorphia
Notoryctes_caurinus_M2520,Notoryctes,caurinus,M2520,Notoryctemorphia
Notoryctes_caurinus_M6157,Notoryctes,caurinus,M6157,Notoryctemorphia
Perameles_nasuta_J8953,Perameles,nasuta,J8953,Peramelemorphia
Petauroides_volans_J4643,Petauroides,volans,J4643,Diprotodontia
Petaurus_australis_J8599,Petaurus,australis,J8599,Diprotodontia
Petaurus_breviceps_JM2277,Petaurus,breviceps,JM2277,Diprotodontia
Petrogale_xanthopus_M40003,Petrogale,xanthopus,M40003,Diprotodontia
Phalanger_mimicus_J7975,Phalanger,mimicus,J7975,Diprotodontia
Phalanger_vestitus_JM9605,Phalanger,vestitus,JM9605,Diprotodontia
Phascogale_tapoatafa_J11132,Phascogale,tapoatafa,J11132,Dasyuromorphia
Philander_andersoni_MVZ153271,Philander,andersoni,MVZ153271,Didelphimorphia
Philander_opossum_MVZ197402,Philander,opossum,MVZ197402,Didelphimorphia
Planigale_ingrami_JM4943,Planigale,ingrami,JM4943,Dasyuromorphia
Potorous_tridactylus_J6475,Potorous,tridactylus,J6475,Diprotodontia
Pseudocheirus_peregrinus_J10372,Pseudocheirus,peregrinus,J10372,Diprotodontia
Pseudocheirus_peregrinus_J9882,Pseudocheirus,peregrinus,J9882,Diprotodontia
Rhyncholestes_raphanurus_MVZ163773,Rhyncholestes,raphanurus,MVZ163773,Peramelemorphia
Sarcophilus_harrisii_J11282,Sarcophilus,harrisii,J11282,Dasyuromorphia
Sminthopsis_murina_J15896,Sminthopsis,murina,J15896,Dasyuromorphia
Tarsipes_rostratus_M20988,Tarsipes,rostratus,M20988,Diprotodontia
Thylacinus_cynocephalus_AMNH35244,Thylacinus,cynocephalus,AMNH35244,Dasyuromorphia
Thylamys_elegans_MVZ119154,Thylamys,elegans,MVZ119154,Didelphimorphia
Thylamys_pallidior_MVZ173938,Thylamys,pallidior,MVZ173938,Didelphimorphia
Thylogale_stigmatica_J21473,Thylogale,stigmatica,J21473,Diprotodontia
Trichosurus_vulpecula_J9403,Trichosurus,vulpecula,J9403,Diprotodontia
Vombatus_ursinus_UF19129,Vombatus,ursinus,UF19129,Diprotodontia
Vombatus_ursinus_UMZCA1010,Vombatus,ursinus,UMZCA1010,Diprotodontia
